廠商ID,廠商名稱,品項ID,品項,品項名稱,單位,單價
V01,JENNY,V01-001,煮咖哩麻辣鮮味粉(1kg/包)-$588,煮咖哩麻辣鮮味粉(1kg/包),包,588
V01,JENNY,V01-002,客人加購辣粉(包)$1029,客人加購辣粉(包),包,1029
V01,JENNY,V01-003,唐寧早餐茶(100入/盒) $579.6,唐寧早餐茶(100入/盒),盒,579.6
V01,JENNY,V01-004,肌肉先生雞胸肉(120入/箱)$45.3,肌肉先生雞胸肉(120入/箱),箱,5436
V01,JENNY,V01-005,黏鼠板5片$15,黏鼠板5片,片,15
V01,JENNY,V01-006,吸油棉/片,吸油棉/片,片,0
V01,JENNY,V01-007,濾茶袋100Pc/包,濾茶袋100Pc/包,包,0
V01,JENNY,V01-008,美食家耐炸油18L/$830,美食家耐炸油18L,桶,830
V01,JENNY,V01-009,鼎冠耐炸油18L/$760,鼎冠耐炸油18L,桶,760
V01,JENNY,V01-010,統一布丁12pc/排$115,統一布丁12pc,排,115
V02,內用餐具週盤點,V02-001,內用水杯,內用水杯,個,0
V02,內用餐具週盤點,V02-002,內用8吋盤,內用8吋盤,個,0
V02,內用餐具週盤點,V02-003,內用匙,內用匙,個,0
V02,內用餐具週盤點,V02-004,內用叉,內用叉,個,0
V03,美食家,V03-001,洋蔥絲(1kg)-$55,洋蔥絲(1kg),包,55
V03,美食家,V03-002,洋蔥丁(1kg)-$52,洋蔥丁(1kg),包,52
V03,美食家,V03-003,小嘴有籽檸檬片1KG/$140,小嘴有籽檸檬片1KG,包,140
V03,美食家,V03-004,馬鈴薯澱粉(太白粉3kg/包)-$180,馬鈴薯澱粉(太白粉3kg/包),包,180
V03,美食家,V03-005,鰹魚粉(1kg/包)-$210,鰹魚粉(1kg/包),包,210
V03,美食家,V03-006,鮭魚鬆(500g/包)-$180,鮭魚鬆(500g/包),包,180
V03,美食家,V03-007,大成洗選蛋10粒/盒$55,大成洗選蛋10粒/盒,盒,55
V03,美食家,V03-008,元氣迷你炸蝦10PC盒/310,元氣迷你炸蝦10PC盒,盒,310
V03,美食家,V03-009,元氣無骨雞排10片/包-$350,元氣無骨雞排10片/包,包,350
V03,美食家,V03-010,呈冠帶殼溫泉蛋(10/盒)-$120,呈冠帶殼溫泉蛋(10/盒),盒,120
V03,美食家,V03-011,龜甲萬甘醇薄鹽醬油1600ml/-$110/瓶,龜甲萬甘醇薄鹽醬油1600ml/瓶,瓶,110
V03,美食家,V03-012,味滋鰹魚調味露(2倍)1L/瓶-$150,味滋鰹魚調味露(2倍)1L/瓶,瓶,150
V03,美食家,V03-013,EBARA壽喜燒醬1670g/瓶-$330,EBARA壽喜燒醬1670g/瓶,瓶,330
V03,美食家,V03-014,北海道南瓜可樂餅60片/箱$1000,北海道南瓜可樂餅60片/箱,箱,1000
V04,昶翔,V04-001,義大利麵/熟(80包/箱)-$1320,義大利麵/熟(80包/箱),箱,1305
V04,昶翔,V04-002,青醬(1kg/8包/箱)-$165,青醬(1kg/包/),包,165
V04,昶翔,V04-002-1,青醬(1kg/8包/箱)-$165,青醬(8/箱),箱,1320
V04,昶翔,V04-003,辣肉醬(1kg/包)-$160,辣肉醬(1kg/包),包,190
V04,昶翔,V04-003-1,辣肉醬(1kg/包)-$160,辣肉醬(20/箱),箱,3800
V04,昶翔,V04-004,YBARRA橄欖粕油3L/462,YBARRA橄欖粕油,罐,462
V05,擘進,V05-001,酸甜醬(500g/包)-$65.1,酸甜醬(500g/包),包,65
V05,擘進,V05-002,金酥脆薯/2KG/$200,金酥脆薯/2KG(包),包,200
V05,擘進,V05-002-1,金酥脆薯/2KG/$200,金酥脆薯/2KG(6/箱),箱,1200
V05,擘進,V05-003,強匠唐揚雞 1kg/$180,強匠唐揚雞 1kg(包),包,180
V05,擘進,V05-003-1,強匠唐揚雞 1kg/$180,強匠唐揚雞 1kg(12/箱),箱,2160
V05,擘進,V05-004,雞塊(50pc/包)-$162.75,雞塊(包),包,162.75
V05,擘進,V05-004-1,雞塊(50pc/包)-$162.75,雞塊(15/箱),箱,2441
V05,擘進,V05-005,富統培根碎3kg/$659.9,富統培根碎3kg(包),包,659.9
V05,擘進,V05-005,富統培根碎3kg/$659.9,富統培根碎3kg(4/箱),箱,2640
V05,擘進,V05-006,台畜肉丸子1kg/$260,台畜肉丸子1kg,包,260
V05,擘進,V05-007,AVSET?奶油 1L/1罐$102,AVSET?奶油 1L,罐,102
V05,擘進,V05-008,香脆棒雞薯條/包$137.5,香脆棒雞薯條/包,包,137.5
V05,擘進,V05-009,巧達乳酪腸/包/$143.81,起司香腸(包),包,143.81
V05,擘進,V05-009-1,巧達乳酪腸/包/$143.81,起司香腸(20/箱),箱,2876
V06,得福,V06-001,急食鮮-紅醬(1.5KG/包)-$1838,急食鮮-紅醬(1.5KG/包),箱,1838
V07,開元,V07-001,塔塔醬,塔塔醬,包,100
V08,太古,V08-001,可樂糖漿(大)-$2215,可樂糖漿(大),箱,2215
V08,太古,V08-002,雪碧糖漿(小) $582,雪碧糖漿(小),箱,582
V08,太古,V08-003,紅茶糖漿(小) $1107.75,紅茶糖漿(小),箱,1107.75
V08,太古,V08-004,蘋果糖漿(小) $1115.,蘋果糖漿(小) ,箱,1115
V08,太古,V08-005,氣瓶-$225,氣瓶,罐,225
V08,太古,V08-006,可口可樂(鋁)24罐/箱-$336,可口可樂(鋁)24罐/箱,箱,336
V08,太古,V08-007,雪碧(鋁)24罐/箱-$336,雪碧(鋁)24罐/箱,箱,336
V08,太古,V08-008,零卡可樂(鋁)24罐/箱$336,零卡可樂(鋁)24罐,箱,336
V09,國豐,V09-001,香醇咖哩1KG(綠色)$220.5,香醇咖哩1KG(綠色),盒,220.5
V09,國豐,V09-002,甘口SB1Kg/紅色咖哩塊-$228.9,甘口SB1Kg/紅色咖哩塊,盒,228.9
V09,國豐,V09-003,烹大師雞粉2kg(包)-$399,烹大師雞粉2kg(包),包,399
